part_no,name,module,qty,material,method,dimensions,tolerance,interface,assembly,make_buy,cost_usd_low,cost_usd_high,in_low_cost_build,purpose
NC-101,Nose tip section,100,1,PETG (ASA if painted dark),"FDM print standing on the spigot, tip up, 0.2 mm layers, 3 perimeters, 0 % infill","Tangent ogive sta 0–150, wall 1.2, solid tip 8; 2 mm split web + spigot 10 × 1.6 wall",OD ±0.3; spigot fit tune on coupon,"Spigot into NC-102 socket, 0.2 diametral (I-00)","30-min epoxy, align seam, tape jig",MAKE,2,4,True,"Aerodynamic nose, low drag at M<0.3"
NC-102,Nose base + shoulder,100,1,PETG,FDM print split face down; chamfered lugs/bosses need no support; 4 perimeters in shoulder,"Ogive sta 150–264 + spigot socket; shoulder ⌀63.7 × 60, wall 1.6; 3 radial M3 insert bosses @ [90, 210, 330]°; 3 lugs sta 306–318 @ [30, 150, 270]°",Shoulder ⌀63.7 +0/−0.15,I-01: 3× M3 radial into PL-201 @ sta 294,"Heat-set inserts, then bond NC-101",MAKE,3,5,True,Nose-to-payload interface
NC-103,Nose bulkhead / ballast mount,100,1,PETG,"FDM print flat, 60 % gyroid","⌀60.3 × 6, ⌀6.5 centre, 3× ⌀3.4 @ R27.2",Holes +0.2/−0,3× M3 × 10 into NC-102 lug inserts,Bolt; rod nut on aft face,MAKE,0.5,1,True,Closes payload bay forward; carries ballast
NC-104,Ballast rod kit,100,1,"A2 stainless M6 rod, nylock nuts, M6 fender washers","Cut rod to 86 mm, deburr",M6 × 86,Length ±1,Through NC-103,Stack washers as needed to hit target CG; nylock both ends,BUY,3,5,True,Adjustable stability trim
PL-201,Payload tube,200,1,66 mm-class kraft/phenolic body tube,Cut from stock with tube-cutting jig,⌀66/⌀64 × 250; 3× ⌀3.4 @ sta 294; ⌀14 lens hole @ sta 360/270°; 25 × 40 hatch cut-out @ sta 395/90°,Length ±0.5; end squareness ≤0.5,"I-01 nose, I-02 AV coupler bond",Mark holes with printed wrap-around drill guide,MAKE,6,10,True,Houses payload bay
PL-202,GPS / sensor tray + bracket,200,1,PETG,FDM print,"50 × 82 × 2.5 plate + 22 × 26 × 8 foot (90 overall); 2 M3 inserts @ (±7, -14); 6 M2.5 insert bosses",—,2× M3 × 16 from inside the AV bay through AV-303 into the foot inserts,Modules on M2.5 standoffs,MAKE,0.5,1,False,GPS + optional sensor mount
PL-203,Camera cradle,200,1,PETG,FDM print,Pocket CAM_W × CAM_H × CAM_LEN (USER: measure camera); saddle R31.9,Pocket +0.3/+0.1,"Bonded to tube wall, lens concentric with hole","Dry-fit camera, epoxy saddle",MAKE,0.5,1,False,Holds onboard camera
PL-204,Lens cowl,200,1,ASA or PETG,FDM print,"40 long × 20 wide × 8 high teardrop, 15° aft-looking window",Saddle R33 ±0.2,Bonded over lens hole,Epoxy + fillet; sand fair,MAKE,0.3,0.5,False,"Streamlines lens, protects on landing"
PL-205,Access hatch,200,1,PETG,FDM print curved panel (0.25 mm nozzle recommended: 1 mm wall),"39.4 × 24.4 on R33, 2× ⌀2.9 @ ±17",Edge gap 0.3 ±0.15,2× M2.5 × 6 button head into PL-206 ledge inserts,Remove to reach camera button / GPS USB,MAKE,0.3,0.5,False,Service without removing nose
PL-206,Hatch doubler frame,200,1,PETG,FDM print,"54 × 40 saddle R31.9, 2 thick; opening 28 × 25 (6 mm ledges); 2 M2.5 insert bosses",—,Bonded inside tube around cut-out,Epoxy before cutting final opening,MAKE,0.3,0.5,False,Restores tube stiffness at cut-out; carries the hatch
AV-301,Avionics coupler,300,1,Commercial kraft/phenolic coupler,Cut from stock,⌀63.8/⌀61 × 170,Slip fit in BODY_ID: 0.1–0.4 diametral,"I-02 bond (fwd 70), I-03 slip fit (aft 70)",Bond fwd half into PL-201; aft half sanded / taped to tune separation force,BUY,5,8,True,Avionics bay structure + separation joint
AV-302,Switch band,300,1,Body tube offcut,Cut from stock,⌀66 × 30; ⌀8 switch access @90°; 4× ⌀2 static ports @45°,Length ±0.3,Bonded centred on AV-301,Bond with coupler inserted in both tubes (alignment),MAKE,0,0,True,"Exterior band, switch and static-port access"
AV-303,Forward bulkhead,300,1,"6 mm birch ply ×2, laminated",Laser cut or hole saw + disc-sander jig,"⌀60.8 + ⌀63.8 discs; 2× M4 tee-nut ⌀5.5 @±20 (flange fwd); ⌀8 harness @ y+14; 2× ⌀3.4 @ (±7, -14)",Rod holes ±0.2 true position,I-02; bears on coupler fwd end face,Epoxy into coupler; seal with fillet,MAKE,1,2,True,Rod anchor + payload/av separation
AV-304,Aft bulkhead,300,1,"6 mm birch ply ×2, laminated",Laser cut or hole saw,As AV-303; 2× ⌀4.5; ⌀6.5 eyebolt,Rod holes ±0.2 true position,I-04a recovery attachment; outer disc seats on AV-309,Slides on rods; washer + nylock nut each rod,MAKE,1,2,True,Removable service closure; shock-cord anchor
AV-305,Threaded rods,300,2,M4 A2-70 stainless,"Cut, deburr, chamfer",M4 × 190,±1,AV-303 inserts ↔ AV-304 nuts,Loctite 243 into inserts (metal-metal only),BUY,3,5,True,Clamp bay; carry recovery load to AV-303
AV-306,Electronics sled,300,1,PETG,"FDM print flat, 100 % around sleeves","52 × 3 × 140, 2 rod sleeves ⌀7.5/⌀4.4, 10 M2.5 insert bosses (25 mm pitch), switch tower 20 high, 2 M3 cage inserts, zip slots",Sleeve pitch 40 ±0.2,Rides on AV-305,Modules on M2.5 nylon standoffs,MAKE,1,2,True,Modular electronics carrier
AV-307,Arming switch,300,1,COTS latching switch (screw or key type),Purchase,Per maker; actuator reachable through ⌀8,—,Wired battery → regulator,Mount to sled bracket aligned with band hole,BUY,3,8,True,Power electronics on the pad only
AV-308,Battery cage + strap,300,1,PETG + hook-and-loop / aramid strap,Print,Open-bottom cage for 55 × 28 × 9 cell (USER; width ≤ 28.8),—,"Sled underside, 2× M3 × 16 into AV-306 inserts",Screw from below; strap through side slots,MAKE,1,2,True,Positive battery retention under load
AV-309,Aft bulkhead face gasket,300,1,1.5 mm EVA / neoprene foam,Knife/die cut from DXF,"Annulus ⌀63.8 / ⌀61, 1.5 free (0.5 compressed)",—,Coupler aft end face ↔ AV-304 outer disc,Contact adhesive to AV-304 outer disc,MAKE,1,2,True,Keeps ejection gas out of the bay
AV-312,Rod spacers,300,4,PETG,FDM print upright,"⌀7.5 / ⌀4.4; 2 × 7 fwd, 2 × 11.5 aft",Length ±0.1,On AV-305 between bulkheads and sled,"Fwd pair, sled, aft pair, then AV-304 + nuts",MAKE,0.2,0.5,True,Clamps the sled axially
AV-311,Forged eyebolt M6,300,1,"Forged steel, zinc or stainless",Purchase,M6 shank; RATED working load from maker,—,I-04a,Nut + fender washer inside; threadlock,BUY,3,6,True,Recovery attachment point
BO-401,Booster tube,400,1,66 mm-class kraft/phenolic body tube,Cut; slot with router jig or fine saw + file,"⌀66/⌀64 × 600; 4 slots 3.3 × 140 from the tab front, open aft; 2× ⌀4.5 rail-button holes @45°",Slot width +0.2/−0; slots 90° ±0.5°,"I-03, I-06, I-07",Mark slots with printed wrap guide,MAKE,12,20,True,Recovery bay + fin can shell
BO-402,Motor mount tube,400,1,29 mm-class kraft/phenolic MMT,Cut from stock,⌀31 OD; ID + length PER MOTOR/RETAINER MAKER (placeholder 260),Axis parallel to body ≤0.3°,I-05 (COTS retainer),Rings bonded while clamped in alignment jig,BUY,4,7,True,Holds certified motor; transmits thrust
BO-403,Fin-can core,400,1,ASA (heat tolerance) — PETG only for ground demo,"FDM print aft-end down, rails 100 %, rings 70 %",⌀63.7 × 142; bore ⌀31.3; 8 rails 1.6 thick; guide 3.2; tab floors to R20; 4× M3 inserts @R26; rail boss @45°,Guide width ±0.1; angular 90° ±0.3°,I-06 fins; bonded to MMT + tube,"Bond to MMT, then slide into tube with fins as alignment keys",MAKE,3,5,True,Locates and supports removable fins
BO-404,Forward centering ring,400,1,6 mm birch ply,Laser cut / hole saw,⌀63.7 / ⌀31.3 × 6; 6 × 3 aramid notch @225°,OD +0/−0.2,I-04b recovery load path,Bond + fillets both faces,MAKE,1,2,True,Centres MMT; shock-cord anchor ring
BO-405,Aft fin lock ring,400,1,6 mm birch ply (sealed),Laser cut,⌀63.7 / ⌀40 [RET_CLEAR_D] × 6; 4× ⌀3.4 @R26,Bore per retainer +1,4× M3 × 12 into BO-403,Removable: unscrew to slide fins out aft,MAKE,0.5,1,True,Axially locks fins
BO-406,Fins,400,4,3 mm aircraft birch ply (baseline) / 3.2 mm G10 (upgrade),Laser cut or scroll saw from 1:1 template; edges radiused,"Root 150, tip 60, span 60, sweep 70; tab 134 × 12.8",Profile ±0.3; cant 0° ±0.25°,I-06,"Slide in from aft, lock with BO-405; no glue",MAKE,6,12,True,Stability; replaceable after damage
BO-407,Motor retainer,400,1,COTS 29 mm screw-on retainer (metal),PURCHASE — never fabricate,All dimensions from manufacturer drawing,Per manufacturer,I-05,Bond to MMT exactly per maker's instructions; mentor inspection,BUY,20,35,True,Positive motor retention
BO-408,Rail buttons,400,2,COTS 1010-size rail buttons + screws,Purchase,Per maker; must match RANGE rail,In line ±0.5 over 230 mm,I-07,"Fwd into BO-409 insert, aft into BO-403 boss",BUY,4,8,True,Launch guidance
BO-409,Forward rail-button boss,400,1,PETG,FDM print,"20 × 16 × 8 saddle, insert per button screw",—,Bonded to tube + BO-404 fwd face,Epoxy; install insert before bonding,MAKE,0.2,0.5,True,Hard-point for rail button
BO-410,Aramid anchor leader,400,1,"COTS flame-resistant aramid cord, rated",Purchase; cut 1.5 m,Rated breaking strength ≥ design (see loads),—,I-04b,"Wrap MMT between BO-404 and BO-403, bond with epoxy, exit through notch",BUY,6,10,True,Heat-proof recovery anchor
RC-501,Parachute,500,1,Ripstop nylon,PURCHASE,Nominal ⌀≈1067 (42 in class),—,Quick link to shock cord loop at 1/3 from AV end,Z-fold per maker; lines untangled,BUY,25,45,True,Descent ≈ 5 m/s
RC-502,Parachute protector,500,1,Flame-resistant fabric (e.g. Nomex-type),PURCHASE,Size per maker for chute + 64 mm tube,—,Between chute and motor ejection gas,Burrito wrap,BUY,10,18,True,Protects chute from ejection heat
RC-503,Shock cord,500,1,"Tubular nylon, rated",PURCHASE,"4 m, sewn end loops",—,AV-311 ↔ BO-410 via RC-504,"Accordion fold, masking-tape bundles",BUY,8,15,True,"Energy absorption, keeps parts tethered"
