name,value,unit,provenance,note
BODY_OD,66.0,mm,ASSUMPTION,Nominal 66 mm-class spiral kraft/phenolic body tube. MEASURE the purchased tube and update.
BODY_ID,64.0,mm,ASSUMPTION,"Measure purchased tube (3 places, 2 axes). Drives every shoulder, ring and bulkhead fit."
CPL_OD,63.8,mm,ASSUMPTION,Matching commercial coupler. Must slip-fit BODY_ID (0.1-0.4 mm diametral clearance).
CPL_ID,61.0,mm,ASSUMPTION,Measure purchased coupler.
TUBE_RHO,1.0,g/cm3,ASSUMPTION,Effective density of paper/phenolic tube. Verify by weighing a known length.
FIT_SH,0.3,mm,ASSUMPTION,"Diametral clearance, printed shoulder / ring in tube. Tune with a printed test coupon first."
NC_L,264.0,mm,ASSUMPTION,"Exposed nose length, tangent ogive, fineness 4.0 (NC_L / BODY_OD)."
NC_WALL,1.2,mm,ASSUMPTION,Printed ogive wall = 3 perimeters x 0.4 mm nozzle.
NC_SH_L,60.0,mm,ASSUMPTION,Shoulder length ~0.9 calibre.
NC_SH_WALL,1.6,mm,ASSUMPTION,Shoulder wall (4 perimeters); hosts radial heat-set inserts.
NC_SPLIT,150.0,mm,ASSUMPTION,Print split station so each half fits a 250 mm Z-height printer.
NC_BH_T,6.0,mm,ASSUMPTION,Printed nose bulkhead / ballast mount thickness.
BALLAST_ROD_L,80.0,mm,ASSUMPTION,M6 A2 threaded rod length forward of NC-103 (rod is cut to BALLAST_ROD_L + NC_BH_T = 86).
NC_TIP_SOLID,8.0,mm,ASSUMPTION,Solid printed tip before the internal cavity starts (CAD rev B).
NC_SPIGOT_L,10.0,mm,ASSUMPTION,NC-101 spigot length aft of the print split (engages NC-102 socket).
NC_SPLIT_WEB,2.0,mm,ASSUMPTION,"Solid annular web closing NC-101 at the split; the spigot grows from it (CAD rev B, printable)."
NC_SPIGOT_WALL,1.6,mm,ASSUMPTION,Spigot wall thickness.
FIT_SOCKET,0.2,mm,ASSUMPTION,"Diametral clearance spigot-to-socket (I-00, slip fit +0.1/+0.3)."
NC_BASE_RING,1.6,mm,ASSUMPTION,Closing ring between ogive wall and shoulder at the nose base.
NC_BOSS_T,4.4,mm,ASSUMPTION,Radial insert boss depth inside the shoulder (wall + boss = 6.0 >= insert + 0.5).
NC_LUG_L,12.0,mm,ASSUMPTION,"NC-103 mounting lug length (lugs end at the bulkhead forward face, CAD rev B)."
NC_LUG_T,6.0,mm,ASSUMPTION,NC-103 mounting lug radial depth.
NC_SCREW_ANG,"[90, 210, 330]",deg,ASSUMPTION,Angular positions of the 3 radial nose screws (I-01).
NC_LUG_ANG,"[30, 150, 270]",deg,ASSUMPTION,Angular positions of the 3 NC-103 lugs.
PL_L,250.0,mm,ASSUMPTION,Payload tube length. Clear payload bay = PL_L - NC_SH_L - AV insertion - bulkheads.
CAM_LENS_HOLE,14.0,mm,USER-SUPPLIED,Set from the chosen camera's lens barrel diameter + 1 mm.
CAM_MASS,35.0,g,USER-SUPPLIED,Weigh the chosen camera (with its cable). 35 g is a planning placeholder.
CAM_OFF,36.0,mm,ASSUMPTION,Camera lens-hole station aft of the nose shoulder end (STA 360).
CAM_ANG,270,deg,ASSUMPTION,Camera / lens-cowl angular position.
CAM_TILT,15.0,deg,ASSUMPTION,Lens axis tilted aft from radial (matches the PL-204 window).
CAM_W,26.0,mm,USER-SUPPLIED,Camera body width (PLACEHOLDER: measure your camera). Rev B: 29 -> 26; the rev A 29 x 16 x 45 placeholder interfered with the tube wall at 15 deg tilt.
CAM_H,14.0,mm,USER-SUPPLIED,Camera body depth along the lens axis (PLACEHOLDER; rev A 16).
CAM_LEN,40.0,mm,USER-SUPPLIED,Camera body length (PLACEHOLDER; rev A 45). The CAD re-seats any size inside the bore; the pipeline then checks tray clearance.
CAM_LENS_L,5.0,mm,USER-SUPPLIED,Lens barrel protrusion from the camera face (PLACEHOLDER).
HATCH_OFF,71.0,mm,ASSUMPTION,Hatch centre station aft of the nose shoulder end (STA 395).
HATCH_ANG,90,deg,ASSUMPTION,Hatch angular position (over the GPS).
HATCH_W,25.0,mm,ASSUMPTION,Hatch cut-out chord width.
HATCH_L,40.0,mm,ASSUMPTION,Hatch cut-out axial length.
HATCH_GAP,0.3,mm,ASSUMPTION,Edge gap between hatch panel and cut-out.
HATCH_SCREW_OFF,17.0,mm,ASSUMPTION,Hatch screws at hatch centre +/- this (on the frame ledges).
FRAME_L,54.0,mm,ASSUMPTION,PL-206 doubler frame axial length.
FRAME_W,40.0,mm,ASSUMPTION,PL-206 doubler frame chord width.
FRAME_T,2.0,mm,ASSUMPTION,PL-206 frame thickness (bosses 4.5).
TRAY_L,90.0,mm,ASSUMPTION,PL-202 overall length including the foot.
TRAY_W,50.0,mm,ASSUMPTION,PL-202 plate width.
TRAY_T,2.5,mm,ASSUMPTION,PL-202 plate thickness.
TRAY_FOOT_T,8.0,mm,ASSUMPTION,PL-202 foot thickness (bears on AV-303).
TRAY_HOLE_X,7.0,mm,ASSUMPTION,Tray screw holes at x = +/- this (CAD rev B: clears tee-nut flanges).
TRAY_HOLE_Y,-14.0,mm,ASSUMPTION,Tray screw holes at y = this (below the sled plane).
AV_CPL_L,170.0,mm,ASSUMPTION,Coupler length = 70 insertion + 30 switch band + 70 insertion.
AV_INS,70.0,mm,ASSUMPTION,Coupler insertion each side (~1.1 calibre; >= 1 calibre is the usual rule of thumb).
AV_BAND_L,30.0,mm,ASSUMPTION,Switch band length (exposed airframe ring).
AV_BH_T,6.0,mm,ASSUMPTION,Each bulkhead disc thickness (birch ply); 2 discs per bulkhead.
AV_ROD_SP,40.0,mm,ASSUMPTION,Threaded-rod spacing (M4) in the sled plane.
SLED_L,140.0,mm,ASSUMPTION,Electronics sled length.
SLED_W,52.0,mm,ASSUMPTION,Electronics sled width (fits CPL_ID with rod sleeves).
SLED_T,3.0,mm,ASSUMPTION,"Sled thickness (PETG, 100% infill between rod sleeves)."
SLED_FWD_GAP,7.0,mm,ASSUMPTION,Gap AV-303 to sled = forward AV-312 spacer length.
GASKET_T,0.5,mm,ASSUMPTION,AV-309 face gasket compressed thickness (1.5 mm foam free). CAD rev B: moves AV-304 outer disc aft by this.
SW_ANG,90,deg,ASSUMPTION,Arming-switch access angle.
SW_HOLE_D,8.0,mm,ASSUMPTION,Switch access hole through AV-302 + AV-301.
SW_TOWER_H,20.0,mm,USER-SUPPLIED,Switch tower height above sled; set so the switch actuator sits ~1 mm below CPL_ID.
STATIC_PORT_D,2.0,mm,ASSUMPTION,4 static ports at 45/135/225/315 deg (size per sensor maker guidance).
HARNESS_D,8.0,mm,ASSUMPTION,Harness hole through AV-303 (grommet).
HARNESS_Y,14.0,mm,ASSUMPTION,Harness hole centre offset toward the switch side (+Y).
BAT_L,55.0,mm,USER-SUPPLIED,Battery length (PLACEHOLDER: set from purchased cell).
BAT_W,28.0,mm,USER-SUPPLIED,Battery width (PLACEHOLDER; max 28.8 to clear the rod sleeves).
BAT_H,9.0,mm,USER-SUPPLIED,Battery thickness (PLACEHOLDER).
ROD_L,190.0,mm,ASSUMPTION,AV-305 M4 rod length (fwd bulkhead face to 1.7 mm past the aft nut).
BO_L,600.0,mm,ASSUMPTION,Booster tube length (recovery bay + fin can).
MMT_OD,31.0,mm,ASSUMPTION,29 mm-class motor mount tube OD. Measure purchased tube.
MMT_ID,29.0,mm,COMMERCIAL SPEC,PLACEHOLDER ONLY (MMT bore for the motor casing). Replace via simulation/motor_config.json with the selected certified product's published data.
MMT_L,260.0,mm,COMMERCIAL SPEC,PLACEHOLDER ONLY (MMT length >= longest motor + retainer requirement). Replace via simulation/motor_config.json with the selected certified product's published data.
MMT_AFT_EXT,10.0,mm,COMMERCIAL SPEC,PLACEHOLDER ONLY (MMT protrusion aft of airframe for the retainer). Replace via simulation/motor_config.json with the selected certified product's published data.
CR_T,6.0,mm,ASSUMPTION,"Forward centering ring thickness (birch ply, recovery-load anchor ring)."
CORE_RING_T,8.0,mm,ASSUMPTION,Fin-can core ring thickness (ASA print).
CORE_RAIL_T,1.6,mm,ASSUMPTION,Fin guide rail thickness.
LOCK_T,6.0,mm,ASSUMPTION,Aft fin lock ring thickness (birch ply: heat tolerant near motor).
RET_CLEAR_D,40.0,mm,COMMERCIAL SPEC,Lock-ring bore = retainer body OD + 1 mm. PLACEHOLDER ONLY (retainer body OD). Replace via simulation/motor_config.json with the selected certified product's published data.
FIN_N,4,-,ASSUMPTION,"Fin count. 4 fins -> symmetric layout for rail buttons, camera and slide-in guides."
FIN_CR,150.0,mm,ASSUMPTION,Root chord (exposed).
FIN_CT,60.0,mm,ASSUMPTION,Tip chord.
